X - .MC:I	Y - .MC:I	
-0.44959	-125.7	
-0.44959	-175.7	
-0.44824	-180.7	
-0.44824	-125.7	
-0.44689	-125.7	
-0.44689	-170.7	
-0.44553	-170.7	
-0.44553	-120.7	
-0.44418	-120.7	
-0.44418	-170.7	
-0.44282	-165.7	
-0.44282	-120.7	
-0.44147	-115.7	
-0.44147	-170.7	
-0.44011	-170.7	
-0.44011	-130.7	
-0.43876	-125.7	
-0.43876	-170.7	
-0.4374	-170.7	
-0.4374	-125.7	
-0.43605	-125.7	
-0.43605	-180.7	
-0.4347	-175.7	
-0.4347	-125.7	
-0.43334	-120.7	
-0.43334	-170.7	
-0.43199	-190.7	
-0.43199	-120.7	
-0.43063	-125.7	
-0.43063	-170.7	
-0.42928	-185.7	
-0.42928	-130.7	
-0.42793	-125.7	
-0.42793	-165.7	
-0.42657	-165.7	
-0.42657	-125.7	
-0.42522	-125.7	
-0.42522	-170.7	
-0.42386	-170.7	
-0.42386	-115.7	
-0.42251	-130.7	
-0.42251	-175.7	
-0.42115	-185.7	
-0.42115	-115.7	
-0.4198	-125.7	
-0.4198	-185.7	
-0.41845	-170.7	
-0.41845	-125.7	
-0.41709	-125.7	
-0.41709	-180.7	
-0.41573	-180.7	
-0.41573	-125.7	
-0.41438	-120.7	
-0.41438	-170.7	
-0.41303	-180.7	
-0.41303	-120.7	
-0.41167	-115.7	
-0.41167	-170.7	
-0.41032	-170.7	
-0.41032	-125.7	
-0.40896	-130.7	
-0.40896	-170.7	
-0.40761	-165.7	
-0.40761	-130.7	
-0.40625	-120.7	
-0.40625	-175.7	
-0.4049	-170.7	
-0.4049	-120.7	
-0.40355	-125.7	
-0.40355	-175.7	
-0.40219	-185.7	
-0.40219	-120.7	
-0.40084	-115.7	
-0.40084	-170.7	
-0.39949	-170.7	
-0.39949	-130.7	
-0.39813	-125.7	
-0.39813	-170.7	
-0.39677	-170.7	
-0.39677	-125.7	
-0.39542	-120.7	
-0.39542	-175.7	
-0.39407	-165.7	
-0.39407	-125.7	
-0.39271	-125.7	
-0.39271	-185.7	
-0.39136	-180.7	
-0.39136	-120.7	
-0.39001	-125.7	
-0.39001	-180.7	
-0.38865	-170.7	
-0.38865	-125.7	
-0.3873	-125.7	
-0.3873	-165.7	
-0.38594	-180.7	
-0.38594	-120.7	
-0.38459	-115.7	
-0.38459	-170.7	
-0.38323	-170.7	
-0.38323	-125.7	
-0.38188	-125.7	
-0.38188	-165.7	
-0.38052	-180.7	
-0.38052	-115.7	
-0.37917	-125.7	
-0.37917	-175.7	
-0.37782	-170.7	
-0.37782	-130.7	
-0.37646	-125.7	
-0.37646	-165.7	
-0.37511	-175.7	
-0.37511	-120.7	
-0.37375	-125.7	
-0.37375	-165.7	
-0.3724	-170.7	
-0.3724	-125.7	
-0.37105	-120.7	
-0.37105	-175.7	
-0.36969	-185.7	
-0.36969	-125.7	
-0.36834	-125.7	
-0.36834	-170.7	
-0.36698	-170.7	
-0.36698	-125.7	
-0.36563	-125.7	
-0.36563	-170.7	
-0.36427	-190.7	
-0.36427	-125.7	
-0.36292	-125.7	
-0.36292	-175.7	
-0.36156	-175.7	
-0.36156	-115.7	
-0.36021	-120.7	
-0.36021	-180.7	
-0.35886	-165.7	
-0.35886	-130.7	
-0.3575	-130.7	
-0.3575	-165.7	
-0.35615	-170.7	
-0.35615	-120.7	
-0.35479	-110.7	
-0.35479	-175.7	
-0.35344	-190.7	
-0.35344	-125.7	
-0.35209	-115.7	
-0.35209	-185.7	
-0.35073	-195.7	
-0.35073	-125.7	
-0.34938	-125.7	
-0.34938	-165.7	
-0.34802	-165.7	
-0.34802	-125.7	
-0.34667	-125.7	
-0.34667	-170.7	
-0.34531	-180.7	
-0.34531	-125.7	
-0.34396	-120.7	
-0.34396	-180.7	
-0.34261	-165.7	
-0.34261	-125.7	
-0.34125	-125.7	
-0.34125	-185.7	
-0.33989	-180.7	
-0.33989	-125.7	
-0.33854	-130.7	
-0.33854	-180.7	
-0.33718	-165.7	
-0.33718	-125.7	
-0.33583	-120.7	
-0.33583	-180.7	
-0.33448	-180.7	
-0.33448	-120.7	
-0.33312	-125.7	
-0.33312	-165.7	
-0.33177	-180.7	
-0.33177	-125.7	
-0.33041	-110.7	
-0.33041	-185.7	
-0.32906	-175.7	
