X - .MC:V	Y - .MC:V	
-0.45095	-22.5	
-0.45095	-11.87	
-0.44959	-12.5	
-0.44959	-21.87	
-0.44824	-18.75	
-0.44824	-11.87	
-0.44689	-9.998	
-0.44689	-19.37	
-0.44553	-19.37	
-0.44553	-12.5	
-0.44418	-12.5	
-0.44418	-19.37	
-0.44282	-18.75	
-0.44282	-12.5	
-0.44147	-11.87	
-0.44147	-20	
-0.44011	-23.75	
-0.44011	-11.87	
-0.43876	-12.5	
-0.43876	-21.87	
-0.4374	-19.37	
-0.4374	-13.12	
-0.43605	-13.12	
-0.43605	-20	
-0.4347	-19.37	
-0.4347	-11.25	
-0.43334	-13.12	
-0.43334	-20	
-0.43199	-20.62	
-0.43199	-11.87	
-0.43063	-13.12	
-0.43063	-21.25	
-0.42928	-21.25	
-0.42928	-12.5	
-0.42793	-11.25	
-0.42793	-21.25	
-0.42657	-19.37	
-0.42657	-13.12	
-0.42522	-9.998	
-0.42522	-18.75	
-0.42386	-20	
-0.42386	-9.998	
-0.42251	-11.87	
-0.42251	-19.37	
-0.42115	-22.5	
-0.42115	-9.373	
-0.4198	-12.5	
-0.4198	-18.75	
-0.41845	-18.75	
-0.41845	-12.5	
-0.41709	-11.87	
-0.41709	-18.12	
-0.41573	-19.37	
-0.41573	-11.87	
-0.41438	-9.998	
-0.41438	-20	
-0.41303	-22.5	
-0.41303	-13.12	
-0.41167	-11.25	
-0.41167	-20	
-0.41032	-21.87	
-0.41032	-11.25	
-0.40896	-11.87	
-0.40896	-19.37	
-0.40761	-20	
-0.40761	-11.25	
-0.40625	-11.87	
-0.40625	-21.87	
-0.4049	-19.37	
-0.4049	-13.12	
-0.40355	-11.87	
-0.40355	-20	
-0.40219	-20	
-0.40219	-11.87	
-0.40084	-12.5	
-0.40084	-21.25	
-0.39949	-21.25	
-0.39949	-11.25	
-0.39813	-11.87	
-0.39813	-20	
-0.39677	-18.75	
-0.39677	-13.12	
-0.39542	-11.87	
-0.39542	-20	
-0.39407	-18.75	
-0.39407	-9.998	
-0.39271	-13.75	
-0.39271	-20	
-0.39136	-21.25	
-0.39136	-12.5	
-0.39001	-12.5	
-0.39001	-19.37	
-0.38865	-18.75	
-0.38865	-12.5	
-0.3873	-12.5	
-0.3873	-18.75	
-0.38594	-19.37	
-0.38594	-11.25	
-0.38459	-11.87	
-0.38459	-19.37	
-0.38323	-20	
-0.38323	-11.87	
-0.38188	-11.87	
-0.38188	-18.75	
-0.38052	-20	
-0.38052	-12.5	
-0.37917	-12.5	
-0.37917	-19.37	
-0.37782	-21.25	
-0.37782	-11.87	
-0.37646	-11.87	
-0.37646	-21.25	
-0.37511	-21.87	
-0.37511	-11.25	
-0.37375	-12.5	
-0.37375	-20.62	
-0.3724	-20	
-0.3724	-11.87	
-0.37105	-11.25	
-0.37105	-18.75	
-0.36969	-19.37	
-0.36969	-12.5	
-0.36834	-13.75	
-0.36834	-21.25	
-0.36698	-21.87	
-0.36698	-13.12	
-0.36563	-11.25	
-0.36563	-20.62	
-0.36427	-20	
-0.36427	-13.12	
-0.36292	-11.87	
-0.36292	-21.25	
-0.36156	-19.37	
-0.36156	-11.25	
-0.36021	-11.87	
